block effective_rank depth_residual local_robust_z
0 104.7309509941 -279.2413865238 -3.1547287012
1 258.9958413245 -101.7486545998 -1.1568093244
2 320.4757510801 -19.4491632763 0.1855077509
3 401.7995815340 80.3465100415 2.5457657863
4 366.6026050798 61.3341590685 1.4661392379
5 302.6419259334 11.3314093423 -0.5203632773
6 307.2140887392 27.6953268291 -0.3930445438
7 331.2241368144 61.3914761673 0.3586463704
8 279.8926997809 17.7010083004 -0.7225065570
9 345.2613134150 88.7259803264 0.8359173247
10 338.4444969196 85.6414327699 1.2134547008
11 202.1166930931 -48.8176702494 -1.2491396423
12 232.9656879880 -17.9030213574 -0.6933956642
13 241.8967188103 -10.6488620264 -0.4879807735
14 263.4182263100 7.5137698150 -0.3943553459
15 222.5562836776 -38.3285313210 -0.9903999708
16 277.8699032494 10.4437682234 -0.0982107668
17 309.4009226905 33.9330274349 0.0121028971
18 338.7104573603 53.7608829944 0.0567477563
19 365.6992474326 69.8885963973 0.2144438112
20 391.5251354733 83.5345315310 0.4065857756
21 358.4576865601 37.0287747949 -0.8321235206
22 384.1251682388 48.0601150564 -0.3428159117
23 418.6524008874 66.8138940148 0.5970232991
24 413.3077122296 44.6189607156 0.1560493800
25 408.5480819372 21.9928161521 -0.1273670096
26 403.6391412849 -1.7383870796 -0.4771383678
27 462.8393121309 37.7442942005 0.1270718690
28 489.0343939172 43.3871807558 0.0848743567
29 550.7226094815 83.7490167457 0.6362334841
30 557.7868111589 68.7731758268 0.7524265027
31 553.3068078083 41.5999881795 0.4971325565
32 497.3389635274 -37.6536607768 -2.2574361739
33 555.0576453877 -3.7528826491 -0.0118417115
34 506.7828292412 -76.3171802640 -2.6398180030
35 578.3653628991 -29.4351844885 0.3185466740
36 563.9670163464 -68.8846040162 -0.3764159587
37 607.3611493721 -50.8315577363 0.3329161975
38 588.4526826958 -95.3106036079 -0.3893677136
39 622.9820626769 -86.5207739499 -0.0145653513
40 640.8902564879 -94.4605802683 0.0111246414
41 656.5357937105 -104.7109716598 -0.1621320754
42 723.0184954171 -64.1116057305 -0.0446640035
43 868.9774765390 56.0371537726 1.1040293275
44 804.7970847765 -33.8198241287 0.3391123851
45 831.9225173085 -32.1768209341 0.7219351036
46 898.3969495598 9.0698601030 0.9735004421
47 892.4162961235 -21.8233451029 0.7646157078
48 717.3351343177 -221.4413379119 -1.9889640796
49 782.1362242547 -180.7408368904 -0.8374975362
50 718.5128566334 -267.9680300179 -1.3786584251
51 841.7039544651 -167.8234729614 -0.3417525538
52 941.5863158777 -90.3698462716 -0.0242272966
53 1005.0082856097 -48.6982838883 -0.0323767159
54 1091.1566281605 16.4385000094 -0.0785048047
55 1213.9547554170 119.0244386300 0.3789760171
56 1256.4703968572 142.1877827730 0.5030895878
57 1292.6255479507 159.9110492297 1.3941480561
58 1255.5848357056 105.4193863296 0.3906568139
59 1238.7598518725 72.1849071449 -0.3205438026
60 1195.4637466121 13.5812831580 -1.5522406690
61 1229.4986217992 33.4711375649 -1.3960541678
62 1269.5522374189 60.6027516728 -0.3299962068
63 1301.6725690360 81.0846223676 0.3015885964
64 1292.0995308015 61.2171851221 -0.2537938701
65 1332.0052907600 92.2331293024 0.4549208884
66 1347.1754826694 99.9786099880 1.2055011180
67 1361.1001764515 108.0042184223 1.9757961685
68 1313.0445433141 55.6356471345 -0.3071455984
69 1348.6472924689 88.5721266580 1.4058043901
70 1309.9837363754 48.9494907738 -0.3740829825
71 1320.3016006872 60.0759864570 0.1628434795
72 1325.0961129546 67.5073625797 0.2664310350
73 1301.3235086914 48.2603759770 0.3808912519
74 1237.2019879215 -9.3862520054 -0.3237826534
75 1231.3351370059 -6.7684136852 -0.0543698435
76 1196.6102893032 -30.9382543819 -0.3318369989
77 1203.7425078161 -11.1201897717 -0.2659149229
78 1042.2740919313 -157.7113991459 -5.8245558617
79 907.0508906567 -275.8055121752 -7.2524994803
